指数代码	指数简称	指数全称	发布日期	退市日期	指数行情	指数权重	指数成分
000136.XSHG	180低贝	上证180低贝塔指数	2012-08-06	0000-00-00	有	有	有
000137.XSHG	380高贝	上证380高贝塔指数	2012-08-06	0000-00-00	有	有	有
000138.XSHG	380低贝	上证380低贝塔指数	2012-08-06	0000-00-00	有	有	有
000139.XSHG	上证转债	上证可转换债券指数	2012-09-12	0000-00-00	有	有	有
000140.XSHG	5年国债	上证5年期国债指数	2012-09-12	0000-00-00	有	NA	有
000141.XSHG	380动态	上证380动态指数	2013-02-08	0000-00-00	有	有	有
000142.XSHG	380稳定	上证380稳定指数	2013-02-08	0000-00-00	有	有	有
000145.XSHG	优势资源	上证优势资源产业指数	2012-05-29	0000-00-00	有	有	有
000146.XSHG	优势制造	上证优势制造产业指数	2012-05-29	0000-00-00	有	有	有
000147.XSHG	优势消费	上证优势消费产业指数	2012-05-29	0000-00-00	有	有	有
000148.XSHG	消费领先	上证消费服务领先指数	2012-05-29	0000-00-00	有	有	有
000149.XSHG	180红利	上证180红利指数	2012-07-20	0000-00-00	有	有	有
000150.XSHG	380红利	上证380红利指数	2012-07-20	0000-00-00	有	有	有
000151.XSHG	上国红利	上证国有企业红利指数	2012-07-20	0000-00-00	有	有	有
000152.XSHG	上央红利	上证中央企业红利指数	2012-07-20	0000-00-00	有	有	有
000153.XSHG	上民红利	上证民营企业红利指数	2012-07-20	0000-00-00	有	有	有
000155.XSHG	市值百强	上证市值百强指数	2012-07-20	0000-00-00	有	有	有
000158.XSHG	上证环保	上证环保产业指数	2012-09-25	0000-00-00	有	有	有
000159.XSHG	沪股通	上证沪股通指数	2014-11-17	0000-00-00	有	有	有
000160.XSHG	沪新丝路	上证一带一路主题指数	2015-06-24	0000-00-00	有	有	有
000161.XSHG	沪中国造	上证中国制造2025主题指数	2015-10-29	0000-00-00	有	有	有
000162.XSHG	沪互联+	上证互联网+主题指数	2015-10-29	0000-00-00	有	有	有
000170.XSHG	50AH优选	上证50AH优选指数	2015-12-10	0000-00-00	有	NA	有
000171.XSHG	新兴成指	中国战略新兴产业成份指数	2017-01-25	0000-00-00	有	有	有
000188.XSHG	中国波指	上证50ETF波动率指数	2016-11-28	0000-00-00	NA	NA	NA
000300.XSHG	沪深300	沪深300指数	2005-04-08	0000-00-00	有	有	有
000500.XSHG	内地企业	中证中国内地企业500指数	2020-07-13	0000-00-00	NA	NA	有
000501.XSHG	中国1000(人民币)	中证中国内地企业1000指数(人民币)	2020-07-13	0000-00-00	NA	NA	有
000688.XSHG	科创50	上证科创板50成份指数	2020-07-23	0000-00-00	有	有	有
000801.XSHG	资源80	中证资源80指数	2011-11-08	0000-00-00	有	有	有
000802.XSHG	500沪市	中证500沪市指数	2011-11-08	0000-00-00	有	有	有
000803.XSHG	300波动	沪深300波动率加权指数	2012-01-09	0000-00-00	有	有	有
000804.XSHG	500波动	中证500波动率加权指数	2012-01-09	0000-00-00	有	有	有
000805.XSHG	A股资源	中证A股资源产业指数	2012-01-06	0000-00-00	有	有	有
000806.XSHG	消费服务	中证消费服务领先指数	2012-02-10	0000-00-00	有	有	有
000807.XSHG	食品饮料	中证申万食品饮料指数	2012-02-17	0000-00-00	有	有	有
000808.XSHG	医药生物	中证申万医药生物指数	2012-02-17	0000-00-00	有	有	有
000809.XSHG	细分农业	中证细分农业产业主题指数	2012-04-11	0000-00-00	有	有	有
000810.XSHG	细分能源	中证细分能源产业主题指数	2012-04-11	0000-00-00	有	有	有
000811.XSHG	细分有色	中证细分有色金属产业主题指数	2012-04-11	0000-00-00	有	有	有
000812.XSHG	细分机械	中证细分机械设备产业主题指数	2012-04-11	0000-00-00	有	有	有
000813.XSHG	细分化工	中证细分化工产业主题指数	2012-04-11	0000-00-00	有	有	有
000814.XSHG	细分医药	中证细分医药产业主题指数	2012-04-11	0000-00-00	有	有	有
000815.XSHG	细分食品	中证细分食品饮料产业主题指数	2012-04-11	0000-00-00	有	有	有
000816.XSHG	细分地产	中证细分房地产产业主题指数	2012-04-11	0000-00-00	有	有	有
000817.XSHG	兴证海西	中证兴证海西主题指数	2011-09-27	2018-07-11	NA	NA	NA
000818.XSHG	细分金融	中证细分金融产业主题指数	2012-04-11	0000-00-00	有	有	有
000819.XSHG	有色金属	中证申万有色金属指数	2012-05-09	0000-00-00	有	有	有
000820.XSHG	煤炭指数	中证申万煤炭指数	2012-05-09	0000-00-00	有	有	有
000821.XSHG	300红利	沪深300红利指数	2012-07-20	0000-00-00	有	有	有
000822.XSHG	500红利	中证500红利指数	2012-07-20	0000-00-00	有	有	有
000823.XSHG	800有色	中证800有色金属指数	2012-12-21	0000-00-00	有	NA	有
000824.XSHG	国企红利	中证国有企业红利指数	2012-07-20	0000-00-00	有	有	有
000825.XSHG	央企红利	中证中央企业红利指数	2012-07-20	0000-00-00	有	有	有
000826.XSHG	民企红利	中证民营企业红利指数	2012-07-20	0000-00-00	有	有	有
000827.XSHG	中证环保	中证环保产业指数	2012-09-25	0000-00-00	有	有	有
000828.XSHG	300高贝	沪深300高贝塔指数	2012-08-06	0000-00-00	有	有	有
000829.XSHG	300低贝	沪深300低贝塔指数	2012-08-06	0000-00-00	有	有	有
000830.XSHG	500高贝	中证500高贝塔指数	2012-08-06	0000-00-00	有	有	有
000831.XSHG	500低贝	中证500低贝塔指数	2012-08-06	0000-00-00	有	有	有
000832.XSHG	中证转债	中证可转换债券指数	2012-09-12	0000-00-00	有	有	有
000833.XSHG	中高企债	中证1-7年中高收益企债指数	2012-09-10	0000-00-00	有	有	有
000834.XSHG	价值7030	中证银华价值股债恒定组合70/30指数	2012-08-30	0000-00-00	NA	NA	NA
000835.XSHG	价值3070	中证银华价值股债恒定组合30/70指数	2012-08-30	0000-00-00	NA	NA	NA
000836.XSHG	成长7030	中证银华成长股债恒定组合70/30指数	2012-08-30	0000-00-00	NA	NA	NA
000837.XSHG	成长3070	中证银华成长股债恒定组合30/70指数	2012-08-30	0000-00-00	NA	NA	NA
000838.XSHG	创业价值	中证创业价值指数	2012-09-26	0000-00-00	有	有	有
000839.XSHG	浙企综指	中证浙江企业综合指数	2012-11-09	0000-00-00	有	有	有
000840.XSHG	浙江民企	中证浙江民营企业指数	2012-11-09	0000-00-00	有	有	有
000841.XSHG	800医药	中证800制药与生物科技指数	2012-12-21	0000-00-00	有	有	有
000842.XSHG	800等权	中证800等权重指数	2012-12-21	0000-00-00	有	有	有
000843.XSHG	300动态	沪深300动态指数	2013-01-07	0000-00-00	有	有	有
000844.XSHG	300稳定	沪深300稳定指数	2013-01-07	0000-00-00	有	有	有
000845.XSHG	中期信用	中证中期信用债指数	2012-09-18	0000-00-00	NA	有	有
000846.XSHG	ESG100	中证财通中国可持续发展100(ECPIESG)指数	2012-10-16	0000-00-00	有	有	有
000847.XSHG	腾讯济安	中证腾讯济安价值100A股指数	2013-11-18	0000-00-00	有	NA	有
000849.XSHG	300非银	沪深300非银行金融指数	2012-12-21	0000-00-00	有	NA	有
000850.XSHG	300有色	沪深300有色金属指数	2012-12-21	2018-12-26	NA	NA	NA
000851.XSHG	百发100	中证百度百发策略100指数	2014-07-30	0000-00-00	有	NA	有
000852.XSHG	中证1000	中证1000指数	2014-10-17	0000-00-00	有	有	有
000853.XSHG	CSSW丝路	中证申万一带一路主题投资指数	2015-04-23	0000-00-00	有	NA	有
000854.XSHG	500原料	中证500原材料指数	2013-11-06	0000-00-00	有	NA	有
000855.XSHG	央视500	央视财经500指数	2014-11-03	0000-00-00	有	有	有
000856.XSHG	500工业	中证500工业指数	2013-11-06	0000-00-00	有	NA	有
000857.XSHG	500医药	中证500医药卫生指数	2013-11-06	0000-00-00	有	NA	有
000858.XSHG	500信息	中证500信息技术指数	2013-11-06	0000-00-00	有	NA	有
000859.XSHG	国企一带一路	中证国企一带一路指数	2019-05-16	0000-00-00	有	有	有
000860.XSHG	结构调整	中证央企结构调整指数	2018-03-26	0000-00-00	有	有	有
000861.XSHG	央企创新	中证央企创新驱动指数	2019-05-16	0000-00-00	有	有	有
000863.XSHG	CS精准医	中证精准医疗主题指数	2015-08-05	0000-00-00	有	NA	有
000865.XSHG	上海国企	中证上海国企指数	2016-05-11	0000-00-00	有	NA	有
000867.XSHG	港中小企	中证香港中小企业投资主题指数	2015-08-26	0000-00-00	有	NA	NA
000869.XSHG	HK银行	中证香港银行投资指数	2016-04-22	0000-00-00	有	NA	NA
000891.XSHG	新兴综指	中国战略新兴产业综合指数	2017-01-25	0000-00-00	有	有	有
000901.XSHG	小康指数	中证南方小康产业指数	2010-04-02	0000-00-00	有	有	有
000902.XSHG	中证流通	中证流通指数	2006-02-27	0000-00-00	有	有	有
000903.XSHG	中证100	中证100指数	2006-05-29	0000-00-00	有	有	有
000904.XSHG	中证200	中证中盘200指数	2007-01-15	0000-00-00	有	有	有
000905.XSHG	中证500	中证小盘500指数	2007-01-15	0000-00-00	有	有	有
000906.XSHG	中证800	中证800指数	2007-01-15	0000-00-00	有	有	有
000907.XSHG	中证700	中证中小盘700指数	2007-01-15	0000-00-00	有	有	有
000908.XSHG	300能源	沪深300能源(一级行业)指数	2007-07-02	0000-00-00	有	有	有
000909.XSHG	300材料	沪深300原材料(一级行业)指数	2007-07-02	0000-00-00	有	有	有
000910.XSHG	300工业	沪深300工业指数	2007-07-02	0000-00-00	有	有	有
000911.XSHG	300可选	沪深300可选消费指数	2007-07-02	0000-00-00	有	有	有
000912.XSHG	300消费	沪深300主要消费指数	2007-07-02	0000-00-00	有	有	有
000913.XSHG	300医药	沪深300医药卫生指数	2007-07-02	0000-00-00	有	有	有
000914.XSHG	300金融	沪深300金融地产指数	2007-07-02	0000-00-00	有	有	有
000915.XSHG	300信息	沪深300信息技术指数	2007-07-02	0000-00-00	有	有	有
000916.XSHG	300电信	沪深300电信业务指数	2007-07-02	0000-00-00	有	有	有
000917.XSHG	300公用	沪深300公用事业(一级行业)指数	2007-07-02	0000-00-00	有	有	有
000918.XSHG	300成长	沪深300成长指数	2008-01-21	0000-00-00	有	有	有
000919.XSHG	300价值	沪深300价值指数	2008-01-21	0000-00-00	有	有	有
000920.XSHG	300R成长	沪深300相对成长指数	2008-01-21	0000-00-00	有	有	有
000921.XSHG	300R价值	沪深300相对价值指数	2008-01-21	0000-00-00	有	有	有
000922.XSHG	中证红利	中证红利指数	2008-05-26	0000-00-00	有	有	有
000923.XSHG	公司债	中证公司债指数	2008-11-19	0000-00-00	有	NA	NA
000924.XSHG	分离债	中证分离债指数	2008-11-19	2015-08-31	NA	NA	NA
000925.XSHG	基本面50	中证锐联基本面50指数	2009-02-26	0000-00-00	有	有	有
000926.XSHG	中证央企	中证中央企业综合指数	2009-03-30	0000-00-00	有	有	有
000927.XSHG	央企100	中证中央企业100指数	2009-03-30	0000-00-00	有	有	有
000928.XSHG	中证能源	中证能源指数	2009-07-03	0000-00-00	有	有	有
000929.XSHG	中证材料	中证原材料指数	2009-07-03	0000-00-00	有	有	有
000930.XSHG	中证工业	中证工业指数	2009-07-03	0000-00-00	有	有	有
000931.XSHG	中证可选	中证可选消费指数	2009-07-03	0000-00-00	有	有	有
000932.XSHG	中证消费	中证主要消费指数	2009-07-03	0000-00-00	有	有	有
000933.XSHG	中证医药	中证医药卫生指数	2009-07-03	0000-00-00	有	有	有
000934.XSHG	中证金融	中证金融地产指数	2009-07-03	0000-00-00	有	有	有
000935.XSHG	中证信息	中证信息技术指数	2009-07-03	0000-00-00	有	有	有
000936.XSHG	中证电信	中证电信业务指数	2009-07-03	0000-00-00	有	有	有
000937.XSHG	中证公用	中证公用事业指数	2009-07-03	0000-00-00	有	有	有
000938.XSHG	中证民企	中证民营企业综合指数	2009-08-25	0000-00-00	有	有	有
000939.XSHG	民企成长	中证民企成长指数	2009-08-25	0000-00-00	有	有	有
000940.XSHG	财富大盘300	中证财富大盘指数	2009-09-25	0000-00-00	有	有	有
000941.XSHG	新能源	中证内地新能源主题指数	2009-10-28	0000-00-00	有	有	有
000942.XSHG	内地消费	中证内地消费主题指数	2009-10-28	0000-00-00	有	有	有
000943.XSHG	新基建50	中证新型基础设施建设50指数	2009-10-28	0000-00-00	有	有	有
000944.XSHG	内地资源	中证内地资源主题指数	2009-10-28	0000-00-00	有	有	有
000945.XSHG	内地运输	中证内地运输主题指数	2009-10-28	0000-00-00	有	有	有
000946.XSHG	内地金融	中证内地金融主题指数	2009-10-28	0000-00-00	有	有	有
000947.XSHG	内地银行	中证内地银行主题指数	2009-10-28	0000-00-00	有	有	有
000948.XSHG	内地地产	中证内地地产主题指数	2009-10-28	0000-00-00	有	有	有
000949.XSHG	中证农业	中证农业主题指数	2009-10-28	0000-00-00	有	有	有
000950.XSHG	300基建	沪深300基建主题指数	2009-10-28	0000-00-00	有	有	有
000951.XSHG	300银行	沪深300银行指数	2009-10-28	0000-00-00	有	有	有
000952.XSHG	300地产	沪深300地产指数	2009-10-28	0000-00-00	有	有	有
000953.XSHG	中证地企	中证地方国有企业综合指数	2010-02-09	0000-00-00	有	有	有
000954.XSHG	地企100	中证地方国有企业100指数	2010-02-09	0000-00-00	有	有	有
000955.XSHG	中证国企	中证国有企业综合指数	2010-02-09	0000-00-00	有	有	有
000956.XSHG	国企200	中证国有企业200指数	2010-02-09	0000-00-00	有	有	有
000957.XSHG	300运输	沪深300运输指数	2010-03-17	0000-00-00	有	有	有
000958.XSHG	创业成长	中证创业成长指数	2010-03-24	0000-00-00	有	有	有
000959.XSHG	银河99	中证银河99指数	2010-02-09	0000-00-00	有	有	有
000960.XSHG	中证龙头	中证龙头企业指数	2010-02-09	0000-00-00	有	有	有
000961.XSHG	中证上游	中证上游资源产业指数	2010-04-16	0000-00-00	有	有	有
000962.XSHG	中证中游	中证中游制造产业指数	2010-04-16	0000-00-00	有	有	有
000963.XSHG	中证下游	中证下游消费与服务产业指数	2010-04-16	0000-00-00	有	有	有
000964.XSHG	中证新兴	中证新兴产业指数	2010-04-30	0000-00-00	有	有	有
000965.XSHG	基本200	中证锐联基本面200指数	2010-06-02	0000-00-00	有	有	有
000966.XSHG	基本400	中证锐联基本面400指数	2010-06-02	0000-00-00	有	有	有
000967.XSHG	基本600	中证锐联基本面600指数	2010-06-02	0000-00-00	有	有	有
000968.XSHG	300周期	沪深300周期行业指数	2010-05-28	0000-00-00	有	有	有
000969.XSHG	300非周	沪深300非周期行业指数	2010-05-28	0000-00-00	有	有	有
000970.XSHG	ESG40	中证ECPIESG可持续发展40指数	2010-09-17	0000-00-00	有	有	有
000971.XSHG	等权90	中证等权重90指数	2010-12-02	0000-00-00	有	有	有
000972.XSHG	300沪市	沪深300沪市指数	2010-12-02	0000-00-00	有	有	有
000973.XSHG	技术领先	中证技术领先指数	2011-01-04	2018-02-05	NA	NA	NA
000974.XSHG	800金融	中证800金融指数	2013-05-09	0000-00-00	有	NA	有
000975.XSHG	钱江30	中证钱江30指数	2014-01-02	0000-00-00	有	有	有
000976.XSHG	新华金牛	新华金牛50指数	2014-02-18	2017-04-28	NA	NA	NA
000977.XSHG	内地低碳	中证内地低碳经济主题指数	2011-01-21	0000-00-00	有	有	有
000978.XSHG	医药100	中证医药100指数	2011-03-18	0000-00-00	有	有	有
000979.XSHG	大宗商品	中证大宗商品股票指数	2011-08-22	0000-00-00	有	有	有
000980.XSHG	中证超大	中证超级大盘指数	2011-05-10	0000-00-00	有	有	有
000981.XSHG	300分层	沪深300行业分层等权重指数	2011-06-13	0000-00-00	有	有	有
000982.XSHG	500等权	中证500等权重指数	2011-06-13	0000-00-00	有	有	有
000983.XSHG	智能资产	中国智能资产指数	2011-06-17	0000-00-00	有	有	有
000984.XSHG	300等权	沪深300等权重指数	2011-08-02	0000-00-00	有	有	有
000985.XSHG	中证全指	中证全指指数	2011-08-02	0000-00-00	有	有	有
000986.XSHG	全指能源	中证全指能源指数	2011-08-02	0000-00-00	有	有	有
000987.XSHG	全指材料	中证全指原材料指数	2011-08-02	0000-00-00	有	有	有
000988.XSHG	全指工业	中证全指工业指数	2011-08-02	0000-00-00	有	有	有
000989.XSHG	全指可选	中证全指可选消费指数	2011-08-02	0000-00-00	有	有	有
000990.XSHG	全指消费	中证全指主要消费指数	2011-08-02	0000-00-00	有	有	有
000991.XSHG	全指医药	中证全指医药卫生指数	2011-08-02	0000-00-00	有	有	有
000992.XSHG	全指金融	中证全指金融地产指数	2011-08-02	0000-00-00	有	有	有
000993.XSHG	全指信息	中证全指信息技术指数	2011-08-02	0000-00-00	有	有	有
000994.XSHG	全指电信	中证全指电信业务指数	2011-08-02	0000-00-00	有	有	有
000995.XSHG	全指公用	中证全指公用事业指数	2011-08-02	0000-00-00	有	有	有
000996.XSHG	领先行业	中证领先行业指数	2011-08-02	2018-02-05	NA	NA	NA
000997.XSHG	大消费	中证大消费360指数	2011-11-11	2018-02-05	NA	NA	NA
000998.XSHG	中证TMT	中证TMT产业主题指数	2011-11-08	0000-00-00	有	有	有
000999.XSHG	两岸三地	中证两岸三地500指数	2010-01-18	0000-00-00	有	NA	有
399001.XSHE	深证成指	深证成份指数	1995-01-23	0000-00-00	有	有	有
